"","RSD"
"TAG.50.3_FA16.0..NH4",0.038582
"TAG.50.3_FA16.1..NH4",0.037473
"TAG.50.3_FA18.0..NH4",0.147767
"TAG.50.3_FA18.1..NH4",0.032254
"TAG.50.3_FA18.2..NH4",0.026317
"TAG.50.3_FA18.3..NH4",0.060852
"TAG.50.3_FA20.3..NH4",0.189502
"TAG.50.4_FA14.0..NH4",0.047321
"TAG.50.4_FA16.0..NH4",0.063876
"TAG.50.4_FA16.1..NH4",0.020011
"TAG.50.4_FA18.1..NH4",0.031683
"TAG.50.4_FA18.2..NH4",0.036725
"TAG.50.4_FA18.3..NH4",0.03798
"TAG.50.4_FA20.3..NH4",0.215637
"TAG.50.4_FA20.4..NH4",0.112293
"TAG.50.5_FA14.0..NH4",0.134612
"TAG.50.5_FA16.0..NH4",0.026232
"TAG.50.5_FA16.1..NH4",0.092461
"TAG.50.5_FA18.1..NH4",0.152597
"TAG.50.5_FA18.2..NH4",0.09901
"TAG.50.5_FA18.3..NH4",0.044007
"TAG.50.5_FA20.4..NH4",0.205753
"TAG.50.5_FA20.5..NH4",0.094556
"TAG.51.0_FA16.0..NH4",0.026866
"TAG.51.0_FA17.0..NH4",0.092755
"TAG.51.0_FA18.0..NH4",0.120123
"TAG.51.1_FA16.0..NH4",0.053711
"TAG.51.1_FA17.0..NH4",0.074414
"TAG.51.1_FA18.0..NH4",0.081175
"TAG.51.1_FA18.1..NH4",0.046398
"TAG.51.2_FA16.0..NH4",0.049421
"TAG.51.2_FA16.1..NH4",0.054917
"TAG.51.2_FA17.0..NH4",0.043772
"TAG.51.2_FA18.1..NH4",0.037807
"TAG.51.2_FA18.2..NH4",0.059088
"TAG.51.3_FA16.1..NH4",0.063796
"TAG.51.3_FA17.0..NH4",0.145404
"TAG.51.3_FA18.2..NH4",0.067383
"TAG.51.3_FA18.3..NH4",0.208572
"TAG.51.4_FA16.1..NH4",0.163038
"TAG.51.4_FA18.2..NH4",0.077303
"TAG.51.4_FA18.3..NH4",0.105244
"TAG.51.5_FA18.2..NH4",0.22221
"TAG.51.5_FA18.3..NH4",0.166724
"TAG.52.0_FA16.0..NH4",0.045603
"TAG.52.0_FA18.0..NH4",0.055358
"TAG.52.0_FA20.0..NH4",0.118895
"TAG.52.1_FA16.0..NH4",0.050355
"TAG.52.1_FA16.1..NH4",0.17217
"TAG.52.1_FA18.0..NH4",0.041844
"TAG.52.1_FA18.1..NH4",0.040068
"TAG.52.1_FA20.0..NH4",0.104097
"TAG.52.1_FA20.1..NH4",0.085882
"TAG.52.2_FA14.0..NH4",0.185541
"TAG.52.2_FA16.0..NH4",0.047407
"TAG.52.2_FA16.1..NH4",0.05349
"TAG.52.2_FA18.0..NH4",0.046369
"TAG.52.2_FA18.1..NH4",0.041976
"TAG.52.2_FA18.2..NH4",0.029605
"TAG.52.2_FA20.0..NH4",0.181388
"TAG.52.2_FA20.1..NH4",0.071606
"TAG.52.2_FA20.2..NH4",0.095538
"TAG.52.3_FA16.0..NH4",0.033577
"TAG.52.3_FA16.1..NH4",0.034995
"TAG.52.3_FA18.0..NH4",0.053645
"TAG.52.3_FA18.1..NH4",0.041583
"TAG.52.3_FA18.2..NH4",0.047609
"TAG.52.3_FA18.3..NH4",0.041959
"TAG.52.3_FA20.0..NH4",0.0941
"TAG.52.3_FA20.1..NH4",0.145713
"TAG.52.3_FA20.2..NH4",0.068302
"TAG.52.3_FA20.3..NH4",0.059213
"TAG.52.4_FA14.0..NH4",0.123598
"TAG.52.4_FA16.0..NH4",0.034226
"TAG.52.4_FA16.1..NH4",0.05082
"TAG.52.4_FA18.0..NH4",0.135269
"TAG.52.4_FA18.1..NH4",0.037146
"TAG.52.4_FA18.2..NH4",0.037975
"TAG.52.4_FA18.3..NH4",0.038761
"TAG.52.4_FA20.0..NH4",0.09614
"TAG.52.4_FA20.2..NH4",0.161852
"TAG.52.4_FA20.3..NH4",0.099306
"TAG.52.4_FA20.4..NH4",0.054155
"TAG.52.4_FA22.4..NH4",0.171242
"TAG.52.5_FA14.0..NH4",0.144339
"TAG.52.5_FA16.0..NH4",0.039619
"TAG.52.5_FA16.1..NH4",0.063792
"TAG.52.5_FA18.1..NH4",0.060534
"TAG.52.5_FA18.2..NH4",0.050672
"TAG.52.5_FA18.3..NH4",0.054953
"TAG.52.5_FA20.3..NH4",0.136725
"TAG.52.5_FA20.4..NH4",0.050944
"TAG.52.5_FA20.5..NH4",0.118187
"TAG.52.6_FA14.0..NH4",0.208416
"TAG.52.6_FA16.0..NH4",0.019134
"TAG.52.6_FA16.1..NH4",0.064048
"TAG.52.6_FA18.1..NH4",0.126354
"TAG.52.6_FA18.2..NH4",0.064135
"TAG.52.6_FA18.3..NH4",0.076656
"TAG.52.6_FA20.4..NH4",0.078777
"TAG.52.6_FA20.5..NH4",0.180796
"TAG.52.7_FA16.0..NH4",0.049881
"TAG.52.7_FA22.6..NH4",0.227836
"TAG.53.0_FA16.0..NH4",0.087994
"TAG.53.1_FA16.0..NH4",0.098427
"TAG.53.1_FA17.0..NH4",0.096952
"TAG.53.1_FA18.0..NH4",0.092861
"TAG.53.1_FA18.1..NH4",0.032623
"TAG.53.2_FA16.0..NH4",0.044728
"TAG.53.2_FA17.0..NH4",0.066346
"TAG.53.2_FA18.1..NH4",0.032046
"TAG.53.2_FA18.2..NH4",0.075664
"TAG.53.3_FA16.0..NH4",0.053631
"TAG.53.3_FA17.0..NH4",0.039637
"TAG.53.3_FA18.2..NH4",0.044279
"TAG.53.4_FA16.0..NH4",0.158961
"TAG.53.4_FA17.0..NH4",0.112501
"TAG.53.4_FA18.2..NH4",0.046919
"TAG.53.4_FA18.3..NH4",0.120819
"TAG.53.4_FA20.4..NH4",0.173024
"TAG.53.5_FA20.4..NH4",0.115165
"TAG.53.6_FA20.4..NH4",0.189072
"TAG.54.0_FA16.0..NH4",0.062026
"TAG.54.0_FA18.0..NH4",0.044491
"TAG.54.1_FA16.0..NH4",0.06411
"TAG.54.1_FA18.0..NH4",0.030139
"TAG.54.1_FA18.1..NH4",0.039281
"TAG.54.1_FA20.0..NH4",0.048136
"TAG.54.1_FA20.1..NH4",0.089914
"TAG.54.2_FA16.0..NH4",0.042359
"TAG.54.2_FA18.0..NH4",0.026846
"TAG.54.2_FA18.1..NH4",0.030535
"TAG.54.2_FA18.2..NH4",0.059825
"TAG.54.2_FA20.0..NH4",0.116963
"TAG.54.2_FA20.1..NH4",0.073858
