,RSD,
TAG.49.1_FA17.0..NH4,0.167145,16.7145
TAG.49.1_FA18.1..NH4,0.077594,7.7594
TAG.49.2_FA16.1..NH4,0.097221,9.7221
TAG.49.2_FA17.0..NH4,0.201901,20.1901
TAG.49.2_FA18.1..NH4,0.087476,8.7476
TAG.49.2_FA18.2..NH4,0.086876,8.6876
TAG.49.3_FA18.2..NH4,0.065133,6.5133
TAG.50.0_FA14.0..NH4,0.186649,18.6649
TAG.50.0_FA16.0..NH4,0.034975,3.4975
TAG.50.0_FA18.0..NH4,0.028905,2.8905
TAG.50.1_FA14.0..NH4,0.044926,4.4926
TAG.50.1_FA16.0..NH4,0.041354,4.1354
TAG.50.1_FA16.1..NH4,0.027271,2.7271
TAG.50.1_FA18.0..NH4,0.033436,3.3436
TAG.50.1_FA18.1..NH4,0.048685,4.8685
TAG.50.1_FA20.1..NH4,0.210336,21.0336
TAG.50.2_FA14.0..NH4,0.044019,4.4019
TAG.50.2_FA16.0..NH4,0.04238,4.238
TAG.50.2_FA16.1..NH4,0.034051,3.4051
TAG.50.2_FA18.0..NH4,0.088168,8.8168
TAG.50.2_FA18.1..NH4,0.046444,4.6444
TAG.50.2_FA18.2..NH4,0.045522,4.5522
TAG.50.3_FA14.0..NH4,0.050622,5.0622
TAG.50.3_FA16.0..NH4,0.043278,4.3278
TAG.50.3_FA16.1..NH4,0.045939,4.5939
TAG.50.3_FA18.0..NH4,0.176956,17.6956
TAG.50.3_FA18.1..NH4,0.050529,5.0529
TAG.50.3_FA18.2..NH4,0.045379,4.5379
TAG.50.3_FA18.3..NH4,0.057901,5.7901
TAG.50.3_FA20.3..NH4,0.117441,11.7441
TAG.50.4_FA14.0..NH4,0.074386,7.4386
TAG.50.4_FA16.0..NH4,0.061842,6.1842
TAG.50.4_FA16.1..NH4,0.063558,6.3558
TAG.50.4_FA18.1..NH4,0.078999,7.8999
TAG.50.4_FA18.2..NH4,0.043184,4.3184
TAG.50.4_FA18.3..NH4,0.054614,5.4614
TAG.50.4_FA20.3..NH4,0.224092,22.4092
TAG.50.4_FA20.4..NH4,0.090167,9.0167
TAG.50.5_FA14.0..NH4,0.139013,13.9013
TAG.50.5_FA16.0..NH4,0.016949,1.6949
TAG.50.5_FA16.1..NH4,0.171244,17.1244
TAG.50.5_FA18.1..NH4,0.183806,18.3806
TAG.50.5_FA18.2..NH4,0.151882,15.1882
TAG.50.5_FA18.3..NH4,0.120527,12.0527
TAG.50.5_FA20.4..NH4,0.138933,13.8933
TAG.50.5_FA20.5..NH4,0.236719,23.6719
TAG.51.0_FA16.0..NH4,0.03668,3.668
TAG.51.0_FA17.0..NH4,0.088808,8.8808
TAG.51.0_FA18.0..NH4,0.108476,10.8476
TAG.51.1_FA16.0..NH4,0.105915,10.5915
TAG.51.1_FA17.0..NH4,0.045061,4.5061
TAG.51.1_FA18.0..NH4,0.110482,11.0482
TAG.51.1_FA18.1..NH4,0.054682,5.4682
TAG.51.2_FA16.0..NH4,0.063437,6.3437
TAG.51.2_FA16.1..NH4,0.132699,13.2699
TAG.51.2_FA17.0..NH4,0.069135,6.9135
TAG.51.2_FA18.1..NH4,0.066259,6.6259
TAG.51.2_FA18.2..NH4,0.095926,9.5926
TAG.51.3_FA16.1..NH4,0.111742,11.1742
TAG.51.3_FA17.0..NH4,0.095565,9.5565
TAG.51.3_FA18.2..NH4,0.079323,7.9323
TAG.51.3_FA18.3..NH4,0.150312,15.0312
